period,org_code,parent_org,org_name,a&e_attendances_type_1,a&e_attendances_type_2,a&e_attendances_other_a&e_department,a&e_attendances_booked_appointments_type_1,a&e_attendances_booked_appointments_type_2,a&e_attendances_booked_appointments_other_department,attendances_over_4hrs_type_1,attendances_over_4hrs_type_2,attendances_over_4hrs_other_department,attendances_over_4hrs_booked_appointments_type_1,attendances_over_4hrs_booked_appointments_type_2,attendances_over_4hrs_booked_appointments_other_department,patients_who_have_waited_4-12_hs_from_dta_to_admission,patients_who_have_waited_12+_hrs_from_dta_to_admission,emergency_admissions_via_a&e_-_type_1,emergency_admissions_via_a&e_-_type_2,emergency_admissions_via_a&e_-_other_a&e_department,other_emergency_admissions,month,year,number_of_a&e_attendances_type_1,number_of_a&e_attendances_type_2,number_of_a&e_attendances_other_a&e_department,number_of_attendances_over_4hrs_type_1,number_of_attendances_over_4hrs_type_2,number_of_attendances_over_4hrs_other_a&e_department,total_a&e_attendances,date,attendance_zscore,is_outlier,is_anomaly,season,attendance_rolling_avg,attendance_lag_1
MSitAE-JANUARY-2020,RXW,NHS ENGLAND MIDLANDS (NORTH MIDLANDS),SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1403.0,411.0,2550.0,0.0,53.0,2353.0,1,2020,9422.0,0.0,1897.0,3922.0,0.0,37.0,17172.648974668275,2020-01-01,0.0112996196291133,0,0,Winter,17172.648974668275,17172.648974668275
MSitAE-JANUARY-2020,C83023,NHS ENGLAND MIDLANDS (CENTRAL MIDLANDS),SLEAFORD MEDICAL GROUP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1,2020,0.0,0.0,564.0,0.0,0.0,0.0,17172.648974668275,2020-01-01,0.0112996196291133,0,0,Winter,17172.648974668275,17172.648974668275
MSitAE-JANUARY-2020,RWF,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,556.0,0.0,4528.0,0.0,0.0,533.0,1,2020,13941.0,0.0,2989.0,1487.0,0.0,13.0,17172.648974668275,2020-01-01,0.0112996196291133,0,0,Winter,17172.648974668275,17172.648974668275
MSitAE-JANUARY-2020,Y04538,"NHS ENGLAND SOUTH EAST (HAMPSHIRE, ISLE OF WIGHT AND THAMES VALLEY)",BRACKNELL URGENT CARE CENTRE WIC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2020,0.0,0.0,3492.0,0.0,0.0,0.0,17172.648974668275,2020-01-01,0.0112996196291133,0,0,Winter,17172.648974668275,17172.648974668275
MSitAE-JANUARY-2020,RBL,NHS ENGLAND NORTH WEST (CHESHIRE AND MERSEYSIDE),WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1010.0,40.0,2073.0,0.0,0.0,1941.0,1,2020,7187.0,0.0,3416.0,3115.0,0.0,15.0,17172.648974668275,2020-01-01,0.0112996196291133,0,0,Winter,17172.648974668275,17172.648974668275
MSitAE-JANUARY-2020,DD401,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),EXMOUTH MINOR INJURY UNIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2020,0.0,0.0,1076.0,0.0,0.0,0.0,17172.648974668275,2020-01-01,0.0112996196291133,0,0,Winter,17172.648974668275,17172.648974668275
MSitAE-JANUARY-2020,R1F,"NHS ENGLAND SOUTH EAST (HAMPSHIRE, ISLE OF WIGHT AND THAMES VALLEY)",ISLE OF WIGHT NHS TRUST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,608.0,16.0,825.0,0.0,0.0,170.0,1,2020,2501.0,0.0,2248.0,1215.0,0.0,0.0,17172.648974668275,2020-01-01,0.0112996196291133,0,0,Winter,17172.648974668275,17172.648974668275
MSitAE-JANUARY-2020,Y02676,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",BRIGHTON STATION HEALTH CENTRE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2020,0.0,0.0,1736.0,0.0,0.0,2.0,17172.648974668275,2020-01-01,0.0112996196291133,0,0,Winter,17172.648974668275,17172.648974668275
MSitAE-JANUARY-2020,RW1,"NHS ENGLAND SOUTH EAST (HAMPSHIRE, ISLE OF WIGHT AND THAMES VALLEY)",SOUTHERN HEALTH NHS FOUNDATION TRUST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,221.0,1,2020,0.0,0.0,706.0,0.0,0.0,0.0,17172.648974668275,2020-01-01,0.0112996196291133,0,0,Winter,17172.648974668275,17172.648974668275
MSitAE-JANUARY-2020,RJE,NHS ENGLAND MIDLANDS (NORTH MIDLANDS),UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1385.0,246.0,6040.0,0.0,0.0,2637.0,1,2020,14911.0,482.0,7129.0,5287.0,0.0,39.0,17172.648974668275,2020-01-01,0.0112996196291133,0,0,Winter,17172.648974668275,17172.648974668275
MSitAE-JANUARY-2020,RTH,"NHS ENGLAND SOUTH EAST (HAMPSHIRE, ISLE OF WIGHT AND THAMES VALLEY)",OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,655.0,0.0,3286.0,82.0,20.0,3969.0,1,2020,11574.0,1701.0,453.0,2567.0,0.0,1.0,17172.648974668275,2020-01-01,0.0112996196291133,0,0,Winter,17172.648974668275,17172.648974668275
MSitAE-JANUARY-2020,RK9,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,557.0,82.0,2857.0,0.0,1732.0,0.0,1,2020,7572.0,200.0,3193.0,0.0,0.0,0.0,17172.648974668275,2020-01-01,0.0112996196291133,0,0,Winter,17172.648974668275,17172.648974668275
MSitAE-JANUARY-2020,RA2,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,2362.0,0.0,0.0,700.0,1,2020,5999.0,0.0,0.0,1066.0,0.0,0.0,17172.648974668275,2020-01-01,0.0112996196291133,0,0,Winter,17172.648974668275,17172.648974668275
MSitAE-JANUARY-2020,R1K,NHS ENGLAND LONDON,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1344.0,1.0,6320.0,0.0,0.0,1165.0,1,2020,12674.0,0.0,17913.0,4512.0,0.0,617.0,17172.648974668275,2020-01-01,0.0112996196291133,0,0,Winter,17172.648974668275,17172.648974668275
MSitAE-JANUARY-2020,RRV,NHS ENGLAND LONDON,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.0,11.0,2221.0,0.0,0.0,352.0,1,2020,13222.0,0.0,0.0,2433.0,0.0,0.0,17172.648974668275,2020-01-01,0.0112996196291133,0,0,Winter,17172.648974668275,17172.648974668275
MSitAE-JANUARY-2020,RDR,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",SUSSEX COMMUNITY NHS FOUNDATION TRUST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,2020,0.0,0.0,8828.0,0.0,0.0,64.0,17172.648974668275,2020-01-01,0.0112996196291133,0,0,Winter,17172.648974668275,17172.648974668275
MSitAE-JANUARY-2020,RXL,NHS ENGLAND NORTH WEST (LANCASHIRE AND SOUTH CUMBRIA),BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1405.0,37.0,2321.0,0.0,0.0,1012.0,1,2020,5916.0,0.0,12685.0,3159.0,0.0,8.0,17172.648974668275,2020-01-01,0.0112996196291133,0,0,Winter,17172.648974668275,17172.648974668275
MSitAE-JANUARY-2020,NNF94,NHS ENGLAND NORTH EAST AND YORKSHIRE (YORKSHIRE AND HUMBER),EAST RIDING COMMUNITY HOSPITAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2020,0.0,0.0,2628.0,0.0,0.0,1.0,17172.648974668275,2020-01-01,0.0112996196291133,0,0,Winter,17172.648974668275,17172.648974668275
MSitAE-JANUARY-2020,Y02961,NHS ENGLAND MIDLANDS (WEST MIDLANDS),SUMMERFIELD GP SURG & URGENT CARE CENTRE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2020,0.0,0.0,3514.0,0.0,0.0,0.0,17172.648974668275,2020-01-01,0.0112996196291133,0,0,Winter,17172.648974668275,17172.648974668275
MSitAE-JANUARY-2020,R0A,NHS ENGLAND NORTH WEST (GREATER MANCHESTER),MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,0.0,6594.0,161.0,177.0,1512.0,1,2020,21802.0,3628.0,9048.0,6527.0,14.0,65.0,17172.648974668275,2020-01-01,0.0112996196291133,0,0,Winter,17172.648974668275,17172.648974668275
MSitAE-JANUARY-2020,REP,NHS ENGLAND NORTH WEST (CHESHIRE AND MERSEYSIDE),LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,21.0,1,2020,0.0,1159.0,0.0,0.0,5.0,0.0,17172.648974668275,2020-01-01,0.0112996196291133,0,0,Winter,17172.648974668275,17172.648974668275
MSitAE-JANUARY-2020,RJN,NHS ENGLAND NORTH WEST (CHESHIRE AND MERSEYSIDE),EAST CHESHIRE NHS TRUST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,6.0,906.0,0.0,0.0,330.0,1,2020,4134.0,0.0,0.0,1268.0,0.0,0.0,17172.648974668275,2020-01-01,0.0112996196291133,0,0,Winter,17172.648974668275,17172.648974668275
MSitAE-JANUARY-2020,RVR,NHS ENGLAND LONDON,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,704.0,8.0,3368.0,10.0,0.0,220.0,1,2020,13171.0,500.0,1259.0,2856.0,0.0,0.0,17172.648974668275,2020-01-01,0.0112996196291133,0,0,Winter,17172.648974668275,17172.648974668275
MSitAE-JANUARY-2020,RWJ,NHS ENGLAND NORTH WEST (GREATER MANCHESTER),STOCKPORT NHS FOUNDATION TRUST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,756.0,174.0,2551.0,0.0,0.0,1014.0,1,2020,8068.0,0.0,0.0,2902.0,0.0,0.0,17172.648974668275,2020-01-01,0.0112996196291133,0,0,Winter,17172.648974668275,17172.648974668275
MSitAE-JANUARY-2020,RA7,NHS ENGLAND SOUTH WEST (SOUTH WEST NORTH),UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,597.0,11.0,3380.0,10.0,0.0,962.0,1,2020,10044.0,2163.0,0.0,2159.0,64.0,0.0,17172.648974668275,2020-01-01,0.0112996196291133,0,0,Winter,17172.648974668275,17172.648974668275
MSitAE-JANUARY-2020,RXC,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",EAST SUSSEX HEALTHCARE NHS TRUST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,488.0,0.0,3562.0,0.0,0.0,798.0,1,2020,8597.0,0.0,2501.0,2816.0,0.0,0.0,17172.648974668275,2020-01-01,0.0112996196291133,0,0,Winter,17172.648974668275,17172.648974668275
MSitAE-JANUARY-2020,RTX,NHS ENGLAND NORTH WEST (LANCASHIRE AND SOUTH CUMBRIA),UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,297.0,25.0,2105.0,0.0,50.0,851.0,1,2020,7790.0,104.0,1750.0,2217.0,0.0,43.0,17172.648974668275,2020-01-01,0.0112996196291133,0,0,Winter,17172.648974668275,17172.648974668275
MSitAE-JANUARY-2020,RY2,NHS ENGLAND NORTH WEST (GREATER MANCHESTER),BRIDGEWATER COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2020,0.0,0.0,3415.0,0.0,0.0,37.0,17172.648974668275,2020-01-01,0.0112996196291133,0,0,Winter,17172.648974668275,17172.648974668275
MSitAE-JANUARY-2020,RAX,NHS ENGLAND LONDON,KINGSTON HOSPITAL NHS FOUNDATION TRUST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,555.0,0.0,2877.0,0.0,80.0,578.0,1,2020,7356.0,1162.0,3145.0,1816.0,1.0,32.0,17172.648974668275,2020-01-01,0.0112996196291133,0,0,Winter,17172.648974668275,17172.648974668275
MSitAE-JANUARY-2020,Y02147,NHS ENGLAND LONDON,URGENT CARE CENTRE (QMS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2020,0.0,0.0,9283.0,0.0,0.0,304.0,17172.648974668275,2020-01-01,0.0112996196291133,0,0,Winter,17172.648974668275,17172.648974668275
MSitAE-JANUARY-2020,RPA,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",MEDWAY NHS FOUNDATION TRUST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,981.0,34.0,2430.0,0.0,0.0,1562.0,1,2020,7900.0,0.0,3647.0,2236.0,0.0,731.0,17172.648974668275,2020-01-01,0.0112996196291133,0,0,Winter,17172.648974668275,17172.648974668275
MSitAE-JANUARY-2020,RA3,NHS ENGLAND SOUTH WEST (SOUTH WEST NORTH),WESTON AREA HEALTH NHS TRUST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,257.0,1215.0,0.0,0.0,85.0,1,2020,4037.0,0.0,0.0,1271.0,0.0,0.0,17172.648974668275,2020-01-01,0.0112996196291133,0,0,Winter,17172.648974668275,17172.648974668275
MSitAE-JANUARY-2020,NDA57,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",HASLEMERE MINOR INJURIES UNIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,2020,0.0,0.0,598.0,0.0,0.0,0.0,17172.648974668275,2020-01-01,0.0112996196291133,0,0,Winter,17172.648974668275,17172.648974668275
MSitAE-JANUARY-2020,RXN,NHS ENGLAND NORTH WEST (LANCASHIRE AND SOUTH CUMBRIA),LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,832.0,120.0,2463.0,0.0,90.0,1350.0,1,2020,6652.0,0.0,7442.0,2726.0,0.0,78.0,17172.648974668275,2020-01-01,0.0112996196291133,0,0,Winter,17172.648974668275,17172.648974668275
MSitAE-JANUARY-2020,RH5,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),SOMERSET PARTNERSHIP NHS FOUNDATION TRUST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,1,2020,0.0,0.0,7464.0,0.0,0.0,59.0,17172.648974668275,2020-01-01,0.0112996196291133,0,0,Winter,17172.648974668275,17172.648974668275
MSitAE-JANUARY-2020,RJ6,NHS ENGLAND LONDON,CROYDON HEALTH SERVICES NHS TRUST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,738.0,23.0,1666.0,0.0,0.0,177.0,1,2020,7605.0,0.0,12798.0,3976.0,0.0,334.0,17172.648974668275,2020-01-01,0.0112996196291133,0,0,Winter,17172.648974668275,17172.648974668275
MSitAE-JANUARY-2020,RP5,NHS ENGLAND NORTH EAST AND YORKSHIRE (YORKSHIRE AND HUMBER),DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,777.0,0.0,3438.0,0.0,566.0,1119.0,1,2020,11781.0,0.0,4325.0,2451.0,0.0,4.0,17172.648974668275,2020-01-01,0.0112996196291133,0,0,Winter,17172.648974668275,17172.648974668275
MSitAE-JANUARY-2020,RWH,NHS ENGLAND EAST OF ENGLAND (EAST),EAST AND NORTH HERTFORDSHIRE NHS TRUST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,456.0,1.0,3457.0,0.0,0.0,925.0,1,2020,9652.0,0.0,4591.0,2617.0,0.0,12.0,17172.648974668275,2020-01-01,0.0112996196291133,0,0,Winter,17172.648974668275,17172.648974668275
MSitAE-JANUARY-2020,RY7,NHS ENGLAND NORTH WEST (CHESHIRE AND MERSEYSIDE),WIRRAL COMMUNITY HEALTH AND CARE NHS FOUNDATION TRUST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2020,0.0,0.0,4581.0,0.0,0.0,39.0,17172.648974668275,2020-01-01,0.0112996196291133,0,0,Winter,17172.648974668275,17172.648974668275
MSitAE-JANUARY-2020,Y03051,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",HASTINGS MED P & WALKIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2020,0.0,0.0,1560.0,0.0,0.0,0.0,17172.648974668275,2020-01-01,0.0112996196291133,0,0,Winter,17172.648974668275,17172.648974668275
MSitAE-JANUARY-2020,Y02816,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",EASTBOURNE STATION HEALTH CENTRE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2020,0.0,0.0,1550.0,0.0,0.0,0.0,17172.648974668275,2020-01-01,0.0112996196291133,0,0,Winter,17172.648974668275,17172.648974668275
