Code,System,Type 1 Departments,Type 2 Departments,Type 3 Departments,Total Attendances,Attendances < 4 hours (Type 1),Attendances < 4 hours (Type 2),Attendances < 4 hours (Type 3),Total Attendances < 4 hours,Attendances > 4 hours (Type 1),Attendances > 4 hours (Type 2),Attendances > 4 hours (Type 3),Total Attendances > 4 hours,Percentage in 4 hours (all),Percentage in 4 hours (Type 1),Percentage in 4 hours (Type 2),Percentage in 4 hours (Type 3),Emergency Admissions Type 1,Emergency Admissions Type 2,Emergency Admissions Type 3 and 4,Total Emergency Admissions via A&E,Other Emergency Admissions (not via A&E),Total Emergency Admissions,Patients spending >4 hours from decision to admit,Patients spending >12 hours from decision to admit,Month,Percentage_Under_4_Hours,Holiday_Event_Month
QE1,NHS Lancashire And South Cumbria Integrated Care Board,39865.0,0.0,30767.0,70632.0,23668.0,0.0,29615.0,53283.0,16197.0,0.0,1152.0,17349.0,0.7543747876316683,0.5937037501567791,-,0.9625572854031917,11641.0,0.0,312.0,11953.0,5416.0,17369.0,5407.0,2727.0,2,75.43747876316684,1
QGH,NHS Herefordshire And Worcestershire Integrated Care Board,17686.0,0.0,5215.0,22901.0,8418.0,0.0,5192.0,13610.0,9268.0,0.0,23.0,9291.0,0.5942971922623467,0.4759696935429153,-,0.9955896452540748,5207.0,0.0,0.0,5207.0,2107.0,7314.0,1965.0,608.0,2,59.42971922623467,1
QM7,NHS Hertfordshire And West Essex Integrated Care Board,24117.0,0.0,21124.0,45241.0,11017.0,0.0,20446.0,31463.0,13100.0,0.0,678.0,13778.0,0.6954532393183175,0.4568146950284032,-,0.9679038060973301,8342.0,0.0,59.0,8401.0,1171.0,9572.0,2427.0,313.0,2,69.54532393183175,1
QOQ,NHS Humber And North Yorkshire Integrated Care Board,39479.0,350.0,21342.0,61171.0,21196.0,350.0,20011.0,41557.0,18283.0,0.0,1331.0,19614.0,0.6793578656552942,0.5368930317383925,1,0.9376347108986974,12422.0,4.0,0.0,12426.0,4323.0,16749.0,4820.0,2221.0,2,67.93578656552943,1
QJ2,NHS Derby And Derbyshire Integrated Care Board,27310.0,0.0,21322.0,48632.0,15353.0,0.0,20907.0,36260.0,11957.0,0.0,415.0,12372.0,0.7455996051982234,0.562175027462468,-,0.980536535034237,6348.0,0.0,265.0,6613.0,2922.0,9535.0,2716.0,833.0,2,74.55996051982234,1
QKS,NHS Kent And Medway Integrated Care Board,50190.0,0.0,38551.0,88741.0,32693.0,0.0,36896.0,69589.0,17497.0,0.0,1655.0,19152.0,0.7841809310239911,0.6513847379956167,-,0.9570698555160696,13412.0,0.0,460.0,13872.0,3510.0,17382.0,4937.0,2006.0,2,78.41809310239911,1
QK1,"NHS Leicester, Leicestershire And Rutland Integrated Care Board",20160.0,1827.0,13745.0,35732.0,10639.0,1689.0,13725.0,26053.0,9521.0,138.0,20.0,9679.0,0.7291223553117654,0.5277281746031746,0.9244663382594417,0.9985449254274281,5371.0,4.0,0.0,5375.0,3517.0,8892.0,2659.0,1285.0,2,72.91223553117653,1
QJM,NHS Lincolnshire Integrated Care Board,9849.0,0.0,15947.0,25796.0,2974.0,0.0,13982.0,16956.0,6875.0,0.0,1965.0,8840.0,0.6573112110404714,0.3019595898060717,-,0.8767793315357121,4121.0,0.0,0.0,4121.0,1095.0,5216.0,1997.0,1120.0,2,65.73112110404715,1
QH8,NHS Mid And South Essex Integrated Care Board,29467.0,0.0,3119.0,32586.0,19127.0,0.0,3053.0,22180.0,10340.0,0.0,66.0,10406.0,0.680660406309458,0.6490989920928496,-,0.9788393715934595,8240.0,0.0,150.0,8390.0,1261.0,9651.0,2709.0,38.0,2,68.0660406309458,1
QMM,NHS Norfolk And Waveney Integrated Care Board,23772.0,0.0,11438.0,35210.0,13873.0,0.0,11436.0,25309.0,9899.0,0.0,2.0,9901.0,0.7188014768531668,0.5835857311122329,-,0.9998251442559888,6660.0,0.0,0.0,6660.0,2760.0,9420.0,2479.0,712.0,2,71.88014768531667,1
QMJ,NHS North Central London Integrated Care Board,46834.0,6123.0,14993.0,67950.0,27246.0,6061.0,13450.0,46757.0,19588.0,62.0,1543.0,21193.0,0.6881089036055923,0.5817568433189563,0.9898742446513147,0.8970853064763556,7609.0,1.0,0.0,7610.0,1221.0,8831.0,3809.0,1845.0,2,68.81089036055923,1
QRV,NHS North West London Integrated Care Board,48908.0,3651.0,43758.0,96317.0,31143.0,3627.0,42501.0,77271.0,17765.0,24.0,1257.0,19046.0,0.8022571301016436,0.636766991085303,0.9934264585045193,0.9712738242150006,14749.0,0.0,0.0,14749.0,2074.0,16823.0,3536.0,704.0,2,80.22571301016436,1
QPM,NHS Northamptonshire Integrated Care Board,19081.0,568.0,11026.0,30675.0,10942.0,555.0,10809.0,22306.0,8139.0,13.0,217.0,8369.0,0.7271719641401793,0.573450028824485,0.977112676056338,0.9803192454199166,3712.0,0.0,0.0,3712.0,1584.0,5296.0,2478.0,1037.0,2,72.71719641401792,1
QT1,NHS Nottingham And Nottinghamshire Integrated Care Board,25491.0,1889.0,11390.0,38770.0,11699.0,1577.0,9588.0,22864.0,13792.0,312.0,1802.0,15906.0,0.5897343306680423,0.45894629477070337,0.8348332451032292,0.8417910447761194,6921.0,0.0,0.0,6921.0,4227.0,11148.0,2244.0,731.0,2,58.973433066804226,1
QKK,NHS South East London Integrated Care Board,38568.0,788.0,38805.0,78161.0,18599.0,788.0,35323.0,54710.0,19969.0,0.0,3482.0,23451.0,0.699965455917913,0.48223916199958516,1,0.9102692951939183,8814.0,0.0,0.0,8814.0,2024.0,10838.0,4405.0,1593.0,2,69.9965455917913,1
QOC,"NHS Shropshire, Telford And Wrekin Integrated Care Board",9852.0,0.0,5178.0,15030.0,3985.0,0.0,4896.0,8881.0,5867.0,0.0,282.0,6149.0,0.5908848968729208,0.4044863987007714,-,0.9455388180764774,2760.0,0.0,43.0,2803.0,2263.0,5066.0,1274.0,860.0,2,59.08848968729208,1
QSL,NHS Somerset Integrated Care Board,12203.0,0.0,8789.0,20992.0,7220.0,0.0,8359.0,15579.0,4983.0,0.0,430.0,5413.0,0.7421398628048781,0.5916577890682619,-,0.951075207645921,3089.0,0.0,0.0,3089.0,2015.0,5104.0,505.0,38.0,2,74.2139862804878,1
QWE,NHS South West London Integrated Care Board,40625.0,314.0,15617.0,56556.0,26099.0,314.0,15386.0,41799.0,14526.0,0.0,231.0,14757.0,0.739072777424146,0.6424369230769231,1,0.9852084267144778,7467.0,2.0,105.0,7574.0,1652.0,9226.0,3868.0,2364.0,2,73.9072777424146,1
QF7,NHS South Yorkshire Integrated Care Board,42768.0,1104.0,11694.0,55566.0,25700.0,1104.0,11394.0,38198.0,17068.0,0.0,300.0,17368.0,0.6874347622646942,0.6009165731387953,1,0.9743458183683941,13294.0,0.0,438.0,13732.0,4884.0,18616.0,3842.0,272.0,2,68.74347622646943,1
QNC,NHS Staffordshire And Stoke-On-Trent Integrated Care Board,13020.0,445.0,7909.0,21374.0,5771.0,445.0,7450.0,13666.0,7249.0,0.0,459.0,7708.0,0.6393749415177318,0.4432411674347158,1,0.9419648501706916,5617.0,0.0,0.0,5617.0,2967.0,8584.0,1829.0,947.0,2,63.93749415177318,1
QJG,NHS Suffolk And North East Essex Integrated Care Board,21337.0,0.0,13765.0,35102.0,11337.0,0.0,13383.0,24720.0,10000.0,0.0,382.0,10382.0,0.7042333770155547,0.5313305525612785,-,0.9722484562295678,7484.0,0.0,375.0,7859.0,1828.0,9687.0,2636.0,855.0,2,70.42333770155547,1
QXU,NHS Surrey Heartlands Integrated Care Board,26209.0,0.0,6009.0,32218.0,16939.0,0.0,5848.0,22787.0,9270.0,0.0,161.0,9431.0,0.7072754360916258,0.6463047044908238,-,0.9732068563820935,8004.0,0.0,0.0,8004.0,2303.0,10307.0,2411.0,794.0,2,70.72754360916258,1
QNX,NHS Sussex Integrated Care Board,32125.0,1515.0,26678.0,60318.0,18292.0,1454.0,25940.0,45686.0,13833.0,61.0,738.0,14632.0,0.7574190125667297,0.5694007782101167,0.9597359735973597,0.9723367568783267,10817.0,32.0,34.0,10883.0,2359.0,13242.0,3103.0,1269.0,2,75.74190125667297,1
QUA,NHS Black Country Integrated Care Board,45037.0,1091.0,29413.0,75541.0,27428.0,936.0,28009.0,56373.0,17609.0,155.0,1404.0,19168.0,0.7462569995101997,0.6090103692519484,0.8579285059578369,0.9522660048277972,15613.0,0.0,0.0,15613.0,4134.0,19747.0,6161.0,684.0,2,74.62569995101998,1
QWO,NHS West Yorkshire Integrated Care Board,61907.0,241.0,23168.0,85316.0,38544.0,241.0,22583.0,61368.0,23363.0,0.0,585.0,23948.0,0.719302358291528,0.6226113363593778,1,0.9747496546961326,13790.0,0.0,255.0,14045.0,5201.0,19246.0,6769.0,1067.0,2,71.9302358291528,1
QOX,"NHS Bath And North East Somerset, Swindon And Wiltshire Integrated Care Board",19172.0,309.0,10548.0,30029.0,10515.0,309.0,10094.0,20918.0,8657.0,0.0,454.0,9111.0,0.696593293149955,0.5484560817859379,1,0.9569586651497914,6436.0,0.0,8.0,6444.0,4007.0,10451.0,2193.0,445.0,12,69.6593293149955,1
QHG,"NHS Bedfordshire, Luton And Milton Keynes Integrated Care Board",25892.0,0.0,20875.0,46767.0,13764.0,0.0,20337.0,34101.0,12128.0,0.0,538.0,12666.0,0.7291680030790942,0.5315927699675576,-,0.9742275449101796,7142.0,0.0,0.0,7142.0,2738.0,9880.0,1079.0,82.0,12,72.91680030790943,1
QHL,NHS Birmingham And Solihull Integrated Care Board,41427.0,318.0,18349.0,60094.0,23792.0,318.0,18322.0,42432.0,17635.0,0.0,27.0,17662.0,0.7060937864013046,0.5743114393994255,1,0.9985285301651317,11604.0,0.0,0.0,11604.0,6873.0,18477.0,4879.0,1938.0,12,70.60937864013046,1
QUY,"NHS Bristol, North Somerset And South Gloucestershire Integrated Care Board",24489.0,2126.0,8046.0,34661.0,14234.0,2001.0,7623.0,23858.0,10255.0,125.0,423.0,10803.0,0.688324052970197,0.5812405569847686,0.9412041392285984,0.9474272930648769,8266.0,9.0,0.0,8275.0,3642.0,11917.0,2937.0,1047.0,12,68.8324052970197,1
QU9,"NHS Buckinghamshire, Oxfordshire And Berkshire West Integrated Care Board",36982.0,4815.0,14204.0,56001.0,21070.0,4805.0,13508.0,39383.0,15912.0,10.0,696.0,16618.0,0.7032552990125176,0.5697366286301444,0.9979231568016614,0.9509997183891862,11159.0,869.0,46.0,12074.0,6738.0,18812.0,2418.0,281.0,12,70.32552990125176,1
QUE,NHS Cambridgeshire And Peterborough Integrated Care Board,26850.0,0.0,10556.0,37406.0,13896.0,0.0,10148.0,24044.0,12954.0,0.0,408.0,13362.0,0.6427845800139015,0.5175418994413408,-,0.9613489958317545,6709.0,0.0,56.0,6765.0,2143.0,8908.0,2512.0,1316.0,12,64.27845800139015,1
QYG,NHS Cheshire And Merseyside Integrated Care Board,71205.0,3037.0,49064.0,123306.0,37966.0,2836.0,47237.0,88039.0,33239.0,201.0,1827.0,35267.0,0.7139879649003292,0.5331928937574608,0.9338162660520251,0.9627629218979292,22237.0,91.0,0.0,22328.0,7887.0,30215.0,9744.0,4737.0,12,71.39879649003292,1
QT6,NHS Cornwall And The Isles Of Scilly Integrated Care Board,6184.0,0.0,10870.0,17054.0,3103.0,0.0,10054.0,13157.0,3081.0,0.0,816.0,3897.0,0.7714905593995544,0.5017787839586029,-,0.9249310027598896,2421.0,0.0,53.0,2474.0,1346.0,3820.0,1065.0,468.0,12,77.14905593995543,1
QWU,NHS Coventry And Warwickshire Integrated Care Board,28521.0,1110.0,8120.0,37751.0,16076.0,988.0,7574.0,24638.0,12445.0,122.0,546.0,13113.0,0.6526449630473365,0.5636548508116827,0.8900900900900901,0.9327586206896552,5407.0,33.0,105.0,5545.0,1435.0,6980.0,1585.0,508.0,12,65.26449630473365,1
QHM,NHS North East And North Cumbria Integrated Care Board,77636.0,2497.0,67781.0,147914.0,40658.0,2413.0,66552.0,109623.0,36978.0,84.0,1229.0,38291.0,0.741126600592236,0.5237003452006801,0.9663596315578694,0.9818680751242974,26020.0,38.0,717.0,26775.0,11086.0,37861.0,8308.0,683.0,12,74.1126600592236,1
QJK,NHS Devon Integrated Care Board,29962.0,123.0,13470.0,43555.0,15188.0,122.0,13152.0,28462.0,14774.0,1.0,318.0,15093.0,0.6534726208242452,0.5069087510847073,0.991869918699187,0.976391982182628,9214.0,0.0,0.0,9214.0,4699.0,13913.0,3472.0,842.0,12,65.34726208242452,1
QVV,NHS Dorset Integrated Care Board,17910.0,0.0,9001.0,26911.0,9199.0,0.0,8988.0,18187.0,8711.0,0.0,13.0,8724.0,0.6758202965330162,0.5136236739251815,-,0.998555716031552,6019.0,6.0,1.0,6026.0,2895.0,8921.0,1860.0,441.0,12,67.58202965330162,1
QMF,NHS North East London Integrated Care Board,51024.0,3087.0,38616.0,92727.0,29685.0,2860.0,37056.0,69601.0,21339.0,227.0,1560.0,23126.0,0.7506012272585115,0.5817850423330198,0.9264658244250081,0.9596022374145432,14353.0,4.0,25.0,14382.0,1961.0,16343.0,4338.0,2180.0,12,75.06012272585116,1
QNQ,NHS Frimley Integrated Care Board,23744.0,760.0,11284.0,35788.0,13931.0,760.0,10936.0,25627.0,9813.0,0.0,348.0,10161.0,0.7160780149770873,0.5867166442048517,1,0.9691598723856788,6492.0,0.0,0.0,6492.0,112.0,6604.0,1890.0,328.0,12,71.60780149770873,1
QR1,NHS Gloucestershire Integrated Care Board,13793.0,0.0,8124.0,21917.0,8433.0,0.0,8068.0,16501.0,5360.0,0.0,56.0,5416.0,0.7528858876671077,0.6113970854781411,-,0.9931068439192516,2700.0,0.0,0.0,2700.0,2189.0,4889.0,980.0,536.0,12,75.28858876671077,1
QOP,NHS Greater Manchester Integrated Care Board,87508.0,3184.0,35077.0,125769.0,44674.0,3107.0,33238.0,81019.0,42834.0,77.0,1839.0,44750.0,0.6441889495821704,0.510513324496046,0.9758165829145728,0.9475724833936767,21989.0,148.0,677.0,22814.0,5925.0,28739.0,12246.0,4105.0,12,64.41889495821704,1
QRL,NHS Hampshire And Isle Of Wight Integrated Care Board,40409.0,2188.0,24278.0,66875.0,21456.0,2105.0,23485.0,47046.0,18953.0,83.0,793.0,19829.0,0.7034915887850467,0.5309708233314361,0.9620658135283364,0.9673366834170855,13069.0,17.0,27.0,13113.0,5549.0,18662.0,2820.0,333.0,12,70.34915887850467,1
QE1,NHS Lancashire And South Cumbria Integrated Care Board,44195.0,0.0,30246.0,74441.0,26796.0,0.0,29033.0,55829.0,17399.0,0.0,1213.0,18612.0,0.7499764914496044,0.6063129313270732,-,0.9598955233749917,13386.0,0.0,180.0,13566.0,5486.0,19052.0,5652.0,2908.0,12,74.99764914496045,1
QGH,NHS Herefordshire And Worcestershire Integrated Care Board,19835.0,945.0,4980.0,25760.0,8531.0,945.0,4942.0,14418.0,11304.0,0.0,38.0,11342.0,0.5597049689440994,0.4300983110662969,1,0.9923694779116465,4444.0,0.0,0.0,4444.0,955.0,5399.0,2379.0,757.0,12,55.97049689440994,1
QM7,NHS Hertfordshire And West Essex Integrated Care Board,26075.0,0.0,21531.0,47606.0,12041.0,0.0,20924.0,32965.0,14034.0,0.0,607.0,14641.0,0.6924547325967315,0.46178331735378714,-,0.9718080906599786,8744.0,0.0,20.0,8764.0,1098.0,9862.0,2630.0,557.0,12,69.24547325967315,1
QOQ,NHS Humber And North Yorkshire Integrated Care Board,35157.0,325.0,28523.0,64005.0,15465.0,325.0,27171.0,42961.0,19692.0,0.0,1352.0,21044.0,0.6712131864698071,0.4398839491424183,1,0.9525996564176279,14771.0,0.0,0.0,14771.0,4699.0,19470.0,5502.0,2820.0,12,67.12131864698071,1
QJ2,NHS Derby And Derbyshire Integrated Care Board,28723.0,0.0,27396.0,56119.0,14753.0,0.0,27049.0,41802.0,13970.0,0.0,347.0,14317.0,0.7448814127122722,0.5136301918323295,-,0.9873339173601986,6808.0,0.0,286.0,7094.0,2541.0,9635.0,3608.0,1514.0,12,74.48814127122722,1
QKS,NHS Kent And Medway Integrated Care Board,54547.0,0.0,41612.0,96159.0,35577.0,0.0,40314.0,75891.0,18970.0,0.0,1298.0,20268.0,0.7892240975883693,0.652226520248593,-,0.9688070748822455,13850.0,0.0,537.0,14387.0,2410.0,16797.0,5027.0,2572.0,12,78.92240975883693,1
QK1,"NHS Leicester, Leicestershire And Rutland Integrated Care Board",22293.0,1856.0,15619.0,39768.0,12605.0,1695.0,15578.0,29878.0,9688.0,161.0,41.0,9890.0,0.7513075839871253,0.5654241241645359,0.9132543103448276,0.9973749919969268,6629.0,0.0,0.0,6629.0,3412.0,10041.0,2541.0,953.0,12,75.13075839871253,1
QJM,NHS Lincolnshire Integrated Care Board,11294.0,0.0,19208.0,30502.0,4464.0,0.0,17320.0,21784.0,6830.0,0.0,1888.0,8718.0,0.7141826765458003,0.39525411723038784,-,0.9017076218242399,4770.0,0.0,0.0,4770.0,1059.0,5829.0,2142.0,1049.0,12,71.41826765458002,1
QH8,NHS Mid And South Essex Integrated Care Board,31220.0,0.0,5314.0,36534.0,18459.0,0.0,5029.0,23488.0,12761.0,0.0,285.0,13046.0,0.6429079761318224,0.591255605381166,-,0.9463680843056078,8935.0,0.0,195.0,9130.0,1343.0,10473.0,3300.0,256.0,12,64.29079761318224,1
QMM,NHS Norfolk And Waveney Integrated Care Board,26621.0,0.0,11511.0,38132.0,15755.0,0.0,11510.0,27265.0,10866.0,0.0,1.0,10867.0,0.7150162593097661,0.5918260020284738,-,0.9999131265745809,6580.0,0.0,0.0,6580.0,2272.0,8852.0,2817.0,929.0,12,71.50162593097662,1
QMJ,NHS North Central London Integrated Care Board,48982.0,5470.0,16831.0,71283.0,31319.0,5388.0,15600.0,52307.0,17663.0,82.0,1231.0,18976.0,0.7337934710940898,0.639398146257809,0.9850091407678245,0.9268611490701681,7800.0,2.0,136.0,7938.0,1124.0,9062.0,4294.0,2352.0,12,73.37934710940898,1
QRV,NHS North West London Integrated Care Board,53523.0,3351.0,50140.0,107014.0,29385.0,3350.0,48383.0,81118.0,24138.0,1.0,1757.0,25896.0,0.7580129702655727,0.5490163107449134,0.9997015816174276,0.9649581172716394,14822.0,0.0,0.0,14822.0,1738.0,16560.0,4465.0,1129.0,12,75.80129702655726,1
QPM,NHS Northamptonshire Integrated Care Board,21477.0,490.0,12681.0,34648.0,12567.0,484.0,11818.0,24869.0,8910.0,6.0,863.0,9779.0,0.7177614869545139,0.5851375890487498,0.9877551020408163,0.9319454301711222,4145.0,0.0,0.0,4145.0,1195.0,5340.0,2828.0,874.0,12,71.7761486954514,1
QT1,NHS Nottingham And Nottinghamshire Integrated Care Board,27182.0,1613.0,12102.0,40897.0,11960.0,1462.0,10498.0,23920.0,15222.0,151.0,1604.0,16977.0,0.5848839768198156,0.43999705687587376,0.9063856168629882,0.8674599239795076,8437.0,0.0,0.0,8437.0,4605.0,13042.0,2067.0,872.0,12,58.48839768198156,1
QKK,NHS South East London Integrated Care Board,40651.0,661.0,40923.0,82235.0,21092.0,623.0,38691.0,60406.0,19559.0,38.0,2232.0,21829.0,0.7345534139964736,0.5188556247078793,0.9425113464447806,0.9454585440950077,11009.0,0.0,0.0,11009.0,1808.0,12817.0,4969.0,1790.0,12,73.45534139964735,1
QOC,"NHS Shropshire, Telford And Wrekin Integrated Care Board",10473.0,0.0,5527.0,16000.0,4143.0,0.0,5241.0,9384.0,6330.0,0.0,286.0,6616.0,0.5865,0.3955886565454025,-,0.9482540256920572,3246.0,0.0,201.0,3447.0,2251.0,5698.0,1902.0,1494.0,12,58.650000000000006,1
QSL,NHS Somerset Integrated Care Board,12984.0,0.0,9207.0,22191.0,6057.0,0.0,8965.0,15022.0,6927.0,0.0,242.0,7169.0,0.6769411022486593,0.46649722735674676,-,0.973715651135006,3339.0,0.0,0.0,3339.0,1749.0,5088.0,1103.0,349.0,12,67.69411022486594,1
QWE,NHS South West London Integrated Care Board,42975.0,282.0,18369.0,61626.0,27070.0,282.0,18012.0,45364.0,15905.0,0.0,357.0,16262.0,0.7361178723266154,0.6299011052937754,1,0.9805650824759105,8409.0,1.0,178.0,8588.0,1250.0,9838.0,4255.0,2632.0,12,73.61178723266154,1
QF7,NHS South Yorkshire Integrated Care Board,46818.0,1010.0,13893.0,61721.0,27911.0,1009.0,13374.0,42294.0,18907.0,1.0,519.0,19427.0,0.6852448923381022,0.596159596736298,0.999009900990099,0.9626430576549342,14506.0,0.0,506.0,15012.0,5177.0,20189.0,4656.0,381.0,12,68.52448923381021,1
QNC,NHS Staffordshire And Stoke-On-Trent Integrated Care Board,14390.0,452.0,9017.0,23859.0,5866.0,452.0,8638.0,14956.0,8524.0,0.0,379.0,8903.0,0.6268494069323944,0.40764419735927726,1,0.9579682821337474,5401.0,0.0,0.0,5401.0,3111.0,8512.0,2199.0,1235.0,12,62.68494069323944,1
QJG,NHS Suffolk And North East Essex Integrated Care Board,22287.0,0.0,17086.0,39373.0,11327.0,0.0,16715.0,28042.0,10960.0,0.0,371.0,11331.0,0.7122139537246336,0.5082334993493965,-,0.9782863162823364,8619.0,0.0,468.0,9087.0,1378.0,10465.0,3227.0,1547.0,12,71.22139537246336,1
